Documento,Palabra,Frecuencia
Doc 1,librari,6
Doc 3,librari,5
Doc 13,catalogu,7
Doc 16,period,5
Doc 23,code,5
Doc 25,subject,5
Doc 25,librari,6
Doc 26,fact,5
Doc 28,ala,5
Doc 34,librari,6
Doc 34,scienc,7
Doc 36,librari,6
Doc 43,archiv,5
Doc 44,librari,12
Doc 44,legisl,5
Doc 44,cours,5
Doc 45,market,6
Doc 46,inform,5
Doc 47,cours,5
Doc 49,continu,5
Doc 49,educ,5
Doc 50,inform,5
Doc 51,librari,5
Doc 53,librarian,5
Doc 55,librari,5
Doc 56,librari,6
Doc 56,industri,5
Doc 59,art,7
Doc 59,librari,5
Doc 61,nation,5
Doc 61,librari,9
Doc 62,librari,7
Doc 62,servic,5
Doc 63,librari,6
Doc 63,servic,5
Doc 64,music,5
Doc 65,court,5
Doc 65,librari,5
Doc 72,mobil,8
Doc 72,librari,5
Doc 72,servic,5
Doc 74,librari,9
Doc 74,servic,5
Doc 75,librari,7
Doc 76,librari,5
Doc 78,librari,6
Doc 78,educ,5
Doc 79,librari,5
Doc 82,librari,7
Doc 82,univers,9
Doc 83,librari,8
Doc 84,librari,11
Doc 85,librari,9
Doc 88,educ,5
Doc 91,act,5
Doc 95,librari,6
Doc 95,disadvantag,7
Doc 99,child,8
Doc 100,servic,6
Doc 100,librari,6
Doc 101,librari,7
Doc 102,school,5
Doc 102,uk,6
Doc 103,school,11
Doc 103,librari,9
Doc 104,school,5
Doc 107,centr,5
Doc 108,librari,7
Doc 110,librari,8
Doc 110,servic,6
Doc 110,african,5
Doc 114,librari,7
Doc 117,librari,7
Doc 120,archiv,7
Doc 120,local,7
Doc 120,histori,6
Doc 123,archiv,6
Doc 123,african,5
Doc 128,map,7
Doc 129,globe,5
Doc 133,cultur,5
Doc 136,educ,6
Doc 138,stock,5
Doc 140,journal,7
Doc 142,collect,8
Doc 146,librari,7
Doc 146,board,6
Doc 147,plan,5
Doc 149,staff,5
Doc 151,librari,12
Doc 151,univers,5
Doc 156,librari,5
Doc 157,new,5
Doc 159,librari,11
Doc 162,librari,9
Doc 164,commun,5
Doc 165,public,8
Doc 165,relat,6
Doc 166,inform,5
Doc 167,librari,13
Doc 168,univers,7
Doc 168,librari,8
Doc 175,librari,9
Doc 176,fund,6
Doc 176,public,5
Doc 176,librari,6
Doc 178,librari,5
Doc 180,librari,5
Doc 185,librari,5
Doc 196,work,6
Doc 200,staff,5
Doc 200,develop,6
Doc 203,studi,5
Doc 203,age,5
Doc 203,job,7
Doc 203,satisfact,7
Doc 204,librari,6
Doc 205,carpet,5
Doc 207,new,6
Doc 207,librari,12
Doc 207,build,7
Doc 207,number,5
Doc 209,build,5
Doc 210,librari,6
Doc 211,librari,5
Doc 221,librari,5
Doc 222,teacher,5
Doc 222,librari,5
Doc 226,system,6
Doc 226,evalu,7
Doc 226,work,5
Doc 226,inform,8
Doc 226,centr,5
Doc 227,univers,6
Doc 227,librari,6
Doc 228,inform,6
Doc 228,servic,6
Doc 228,industri,7
Doc 228,uganda,6
Doc 230,inform,5
Doc 233,librari,5
Doc 233,countri,6
Doc 235,patent,11
Doc 235,servic,5
Doc 236,inform,6
Doc 236,social,5
Doc 237,develop,5
Doc 237,inform,7
Doc 237,servic,6
Doc 237,social,5
Doc 237,scienc,5
Doc 240,inform,5
Doc 241,librari,6
Doc 241,inform,5
Doc 241,local,6
Doc 243,educ,5
Doc 243,eric,5
Doc 249,inform,6
Doc 250,inform,7
Doc 251,inform,8
Doc 256,inform,7
Doc 256,develop,7
Doc 258,inform,7
Doc 259,scienc,5
Doc 259,inform,5
Doc 261,scientif,5
Doc 261,journal,7
Doc 265,develop,8
Doc 267,inform,7
Doc 271,inform,5
Doc 273,govern,5
Doc 274,polici,6
Doc 281,data,5
Doc 282,librari,6
Doc 285,infoterra,5
Doc 285,inform,6
Doc 286,develop,5
Doc 286,inform,6
Doc 286,system,9
Doc 288,research,6
Doc 292,materi,6
Doc 292,data,5
Doc 293,inform,5
Doc 299,film,5
Doc 301,librari,5
Doc 303,bibliograph,5
Doc 303,descript,5
Doc 312,educ,11
Doc 312,index,6
Doc 313,enquiri,6
Doc 314,statist,5
Doc 315,mark,6
Doc 315,form,5
Doc 315,use,6
Doc 316,intern,5
Doc 316,uap,6
Doc 320,librari,5
Doc 320,request,6
Doc 326,system,6
Doc 331,refer,5
Doc 333,librari,5
Doc 333,order,7
Doc 337,wholesal,6
Doc 339,inform,5
Doc 339,librari,5
Doc 340,librari,9
Doc 341,cost,7
Doc 341,studi,5
Doc 341,palmour,5
Doc 341,ou,5
Doc 342,stocktak,5
Doc 349,secur,5
Doc 349,system,5
Doc 353,librari,6
Doc 358,use,5
Doc 358,card,6
Doc 361,catalogu,5
Doc 364,system,5
Doc 366,oclc,5
Doc 367,marc,5
Doc 370,aacr,5
Doc 374,system,5
Doc 377,index,6
Doc 377,nomin,7
Doc 377,phrase,7
Doc 379,librari,6
Doc 383,librari,6
Doc 386,kwic,7
Doc 386,index,7
Doc 387,list,5
Doc 389,system,5
Doc 391,comput,5
Doc 395,languag,5
Doc 398,inform,6
Doc 398,system,6
Doc 399,search,7
Doc 400,base,5
Doc 408,data,7
Doc 408,base,5
Doc 411,network,5
Doc 411,user,6
Doc 413,inform,5
Doc 414,prestel,7
Doc 414,librari,5
Doc 419,data,5
Doc 420,index,6
Doc 421,servic,6
Doc 423,user,7
Doc 426,structur,6
Doc 429,data,5
Doc 436,refer,5
Doc 444,rout,5
Doc 445,network,5
Doc 446,data,6
Doc 458,mobil,6
Doc 458,commun,5
Doc 458,system,7
Doc 461,section,5
Doc 464,woman,5
Doc 466,gild,5
Doc 469,publish,5
Doc 472,publish,6
Doc 475,journal,5
Doc 479,public,6
Doc 480,u,5
Doc 481,review,9
Doc 487,child,6
Doc 487,book,8
Doc 488,child,5
Doc 488,teacher,5
Doc 490,librari,5
Doc 498,librari,7
Doc 499,librari,12
Doc 499,scienc,5
Doc 500,librari,6
Doc 506,librari,5
Doc 507,librari,8
Doc 508,librari,5
Doc 512,librari,6
Doc 518,inform,5
Doc 520,librari,6
Doc 523,librari,9
Doc 524,librari,5
Doc 525,librari,6
Doc 525,associ,6
Doc 526,librari,6
Doc 527,inform,5
Doc 527,scienc,5
Doc 529,librari,6
Doc 529,school,5
Doc 531,inform,5
Doc 533,catalogu,6
Doc 534,use,5
Doc 535,cologn,5
Doc 535,librari,14
Doc 536,china,6
Doc 543,librari,5
Doc 544,librari,7
Doc 545,state,6
Doc 545,librari,5
Doc 546,research,6
Doc 547,librari,7
Doc 549,librari,7
Doc 550,standard,7
Doc 551,librari,5
Doc 554,librari,5
Doc 558,popular,5
Doc 558,cultur,5
Doc 565,librari,6
Doc 566,librari,5
Doc 566,standard,6
Doc 567,hospit,5
Doc 568,librari,5
Doc 569,jcah,5
Doc 572,handicap,6
Doc 573,handicap,8
Doc 573,librari,8
Doc 576,librari,7
Doc 578,librari,9
Doc 578,book,5
Doc 580,inform,5
Doc 582,use,9
Doc 585,librari,13
Doc 585,use,14
Doc 586,librari,5
Doc 590,user,7
Doc 590,librari,8
Doc 592,educ,5
Doc 596,book,5
Doc 605,french,5
Doc 608,period,6
Doc 608,librari,7
Doc 613,read,5
Doc 613,aid,6
Doc 619,archiv,5
Doc 623,map,7
Doc 623,collect,5
Doc 626,micropublish,5
Doc 630,data,5
Doc 632,cultur,5
Doc 633,librari,5
Doc 635,collect,7
Doc 638,social,5
Doc 638,archiv,7
Doc 640,journal,8
Doc 646,statist,5
Doc 646,librari,6
Doc 649,network,5
Doc 651,plan,6
Doc 652,plan,9
Doc 652,librari,8
Doc 653,data,5
Doc 653,librari,8
Doc 654,librari,6
Doc 655,health,6
Doc 655,librari,5
Doc 655,nh,5
Doc 656,network,5
Doc 657,ifla,5
Doc 657,develop,5
Doc 658,librari,8
Doc 660,network,5
Doc 662,network,5
Doc 665,plan,5
Doc 667,public,5
Doc 667,librari,6
Doc 667,cultur,5
Doc 668,librari,5
Doc 669,librari,7
Doc 670,interview,5
Doc 672,manag,5
Doc 672,inform,6
Doc 676,librari,6
Doc 676,administr,5
Doc 677,market,5
Doc 679,librari,6
Doc 679,book,5
Doc 680,librari,10
Doc 681,qualiti,5
Doc 681,assur,6
Doc 681,servic,6
Doc 687,librari,5
Doc 690,librari,5
Doc 693,manag,6
Doc 697,certif,7
Doc 700,academ,5
Doc 702,evalu,7
Doc 704,qualifi,5
Doc 704,librari,7
Doc 704,increas,5
Doc 711,librari,6
Doc 714,light,7
Doc 719,inform,8
Doc 719,handicap,6
Doc 720,inform,5
Doc 721,inform,5
Doc 724,inform,5
Doc 725,socialist,8
Doc 726,popul,5
Doc 734,elt,5
Doc 735,data,5
Doc 737,inform,6
Doc 737,librari,5
Doc 738,inform,5
Doc 739,inform,8
Doc 740,educ,6
Doc 748,librari,6
Doc 750,commun,7
Doc 753,inform,6
Doc 753,develop,5
Doc 754,inform,5
Doc 758,data,5
Doc 758,base,5
Doc 762,terminolog,6
Doc 762,standard,5
Doc 764,inform,6
Doc 764,human,6
Doc 766,instruct,5
Doc 766,faculti,6
Doc 766,develop,7
Doc 767,osteopath,5
Doc 767,librari,5
Doc 771,index,6
Doc 773,inform,5
Doc 774,servic,6
Doc 774,inform,5
Doc 777,revis,5
Doc 777,abstract,5
Doc 779,japanes,6
Doc 779,scientif,7
Doc 779,technic,6
Doc 779,literatur,7
Doc 780,cpi,5
Doc 783,cultur,5
Doc 783,activ,6
Doc 784,music,7
Doc 786,system,7
Doc 787,system,5
Doc 789,record,5
Doc 790,inform,5
Doc 790,librari,6
Doc 791,serial,5
Doc 797,librari,5
Doc 807,dental,5
Doc 808,card,6
Doc 815,librari,7
Doc 820,inventori,5
Doc 825,librari,5
Doc 829,bind,7
Doc 834,circul,9
Doc 834,photocopi,6
Doc 835,system,6
Doc 837,catalogu,7
Doc 838,literatur,5
Doc 839,ussr,5
Doc 844,serial,5
Doc 854,utla,5
Doc 856,bibliograph,7
Doc 856,music,8
Doc 856,standard,5
Doc 861,name,7
Doc 864,serial,5
Doc 864,aacr,6
Doc 865,music,6
Doc 866,union,9
Doc 866,foreign,8
Doc 866,uzbekistan,6
Doc 866,prepar,5
Doc 866,librari,8
Doc 866,index,8
Doc 866,period,5
Doc 874,british,5
Doc 877,patent,6
Doc 879,thesauru,5
Doc 879,music,6
Doc 881,rehabilit,5
Doc 881,servic,5
Doc 882,chemic,6
Doc 884,inform,6
Doc 884,system,6
Doc 885,onlin,6
Doc 886,librari,5
Doc 886,servic,5
Doc 888,data,7
Doc 888,use,5
Doc 890,system,7
Doc 891,collect,6
Doc 893,inform,7
Doc 893,system,5
Doc 894,librari,5
Doc 894,inform,9
Doc 898,educ,5
Doc 899,videotex,5
Doc 904,system,8
Doc 906,system,5
Doc 910,inform,5
Doc 914,system,5
Doc 920,onlin,5
Doc 920,search,5
Doc 922,workshop,6
Doc 927,data,6
Doc 927,base,6
Doc 930,ecer,6
Doc 931,search,6
Doc 933,medlin,6
Doc 934,onlin,6
Doc 934,servic,8
Doc 936,data,5
Doc 938,index,6
Doc 943,inform,5
Doc 947,word,5
Doc 962,read,5
Doc 963,read,6
Doc 965,slovak,7
Doc 965,bibliographi,7
Doc 965,book,5
Doc 966,bibliographi,5
Doc 968,ink,5
Doc 969,center,5
Doc 969,book,5
Doc 970,educ,6
Doc 970,publish,7
Doc 972,govern,5
Doc 972,print,6
Doc 974,print,5
Doc 979,censorship,5
Doc 990,budget,5
Doc 1011,nation,5
Doc 1011,librari,5
Doc 1011,servic,5
Doc 1011,develop,5
Doc 1012,nebraska,5
Doc 1012,librari,6
Doc 1015,world,5
Doc 1018,compar,6
Doc 1018,librarianship,7
Doc 1019,librari,9
Doc 1019,research,7
Doc 1020,librari,8
Doc 1020,research,9
Doc 1021,librari,6
Doc 1021,research,13
Doc 1028,inform,5
Doc 1032,medium,5
Doc 1033,associ,5
Doc 1036,librari,9
Doc 1037,librari,6
Doc 1039,librari,5
Doc 1040,ohio,5
Doc 1042,toy,5
Doc 1048,educ,5
Doc 1049,continu,6
Doc 1049,educ,8
Doc 1049,librari,5
Doc 1058,librari,6
Doc 1058,patent,5
Doc 1059,state,5
Doc 1059,librari,6
Doc 1060,librari,5
Doc 1062,librari,14
Doc 1063,public,6
Doc 1063,librari,6
Doc 1067,mobil,6
Doc 1068,librari,10
Doc 1069,librari,6
Doc 1073,learn,5
Doc 1073,resourc,5
Doc 1076,function,5
Doc 1079,nurs,6
Doc 1079,home,6
Doc 1080,servic,6
Doc 1080,librari,6
Doc 1083,librari,7
Doc 1085,librari,8
Doc 1086,resourc,8
Doc 1086,centr,9
Doc 1086,educ,5
Doc 1088,librari,9
Doc 1089,survey,6
Doc 1094,librari,5
Doc 1096,evalu,5
Doc 1097,inform,5
Doc 1101,state,5
Doc 1101,depositori,6
Doc 1102,survey,5
Doc 1105,immigr,7
Doc 1105,librari,6
Doc 1113,archiv,6
Doc 1113,librari,5
Doc 1117,patent,7
Doc 1117,librari,5
Doc 1119,audiovisu,5
Doc 1122,research,6
Doc 1124,collect,9
Doc 1125,map,5
Doc 1126,collect,5
Doc 1127,librari,5
Doc 1127,user,7
Doc 1132,microfich,5
Doc 1137,qualiti,5
Doc 1139,author,7
Doc 1139,paper,5
Doc 1140,busi,5
Doc 1141,librari,5
Doc 1147,chang,5
Doc 1147,librari,7
Doc 1151,librari,5
Doc 1151,system,5
Doc 1152,librari,5
Doc 1157,legisl,6
Doc 1162,librari,5
Doc 1163,measur,7
Doc 1163,librari,5
Doc 1164,librari,5
Doc 1165,librari,5
Doc 1167,librari,5
Doc 1169,librari,6
Doc 1169,inform,6
Doc 1170,user,6
Doc 1174,market,5
Doc 1176,univers,5
Doc 1176,librari,6
Doc 1178,system,7
Doc 1178,librari,5
Doc 1179,librari,5
Doc 1183,librari,5
Doc 1185,librari,6
Doc 1189,system,5
Doc 1192,special,6
Doc 1193,career,5
Doc 1194,salari,6
Doc 1194,hospit,5
Doc 1194,librarian,5
Doc 1196,train,5
Doc 1197,union,6
Doc 1197,librari,5
Doc 1197,associ,5
Doc 1198,inform,6
Doc 1198,specialist,5
Doc 1200,catalogu,6
Doc 1203,librari,5
Doc 1205,librari,5
Doc 1207,market,9
Doc 1207,librari,10
Doc 1207,public,8
Doc 1210,child,6
Doc 1210,book,5
Doc 1211,librari,6
Doc 1212,librari,5
Doc 1217,statist,9
Doc 1218,librari,7
Doc 1218,inform,8
Doc 1218,polici,5
Doc 1223,patent,8
Doc 1224,search,5
Doc 1228,patent,6
Doc 1229,file,5
Doc 1230,research,5
Doc 1231,sourc,5
Doc 1232,librari,7
Doc 1236,freedom,5
Doc 1236,inform,5
Doc 1236,bill,5
Doc 1237,commun,6
Doc 1242,hawaii,5
Doc 1245,standard,8
Doc 1245,inform,5
Doc 1246,data,7
Doc 1249,inform,6
Doc 1253,data,5
Doc 1256,inform,10
Doc 1256,use,5
Doc 1258,energi,6
Doc 1259,librari,5
Doc 1260,agricultur,5
Doc 1261,servic,5
Doc 1262,inform,5
Doc 1263,document,7
Doc 1269,inform,6
Doc 1271,inform,5
Doc 1274,intern,5
Doc 1274,data,9
Doc 1274,flow,6
Doc 1275,inform,5
Doc 1275,develop,6
Doc 1291,correl,5
Doc 1291,tabl,5
Doc 1293,oceanograph,6
Doc 1293,system,6
Doc 1295,medic,5
Doc 1299,data,5
Doc 1302,use,6
Doc 1306,librari,6
Doc 1307,librari,5
Doc 1312,chemic,5
Doc 1315,sdi,6
Doc 1316,scienc,5
Doc 1319,servic,5
Doc 1324,refer,8
Doc 1325,librari,7
Doc 1331,cultur,7
Doc 1332,librari,6
Doc 1333,serial,10
Doc 1333,depart,5
Doc 1333,commun,6
Doc 1333,organis,5
Doc 1334,modul,6
Doc 1340,serial,5
Doc 1341,problem,5
Doc 1341,acquisit,5
Doc 1342,claim,5
Doc 1345,map,6
Doc 1346,select,6
Doc 1351,serial,5
Doc 1353,interlibrari,5
Doc 1353,loan,5
Doc 1356,govern,8
Doc 1358,storag,6
Doc 1364,secur,5
Doc 1364,map,5
Doc 1370,system,7
Doc 1371,hull,5
Doc 1371,system,5
Doc 1372,catalogu,5
Doc 1373,research,5
Doc 1379,system,7
Doc 1380,librari,5
Doc 1380,catalogu,5
Doc 1383,report,7
Doc 1383,error,5
Doc 1385,librari,5
Doc 1388,mrc,5
Doc 1389,citat,6
Doc 1390,librari,5
Doc 1390,catalogu,6
Doc 1397,catalogu,5
Doc 1404,retriev,6
Doc 1404,boolean,5
Doc 1408,subject,6
Doc 1408,head,8
Doc 1408,record,5
Doc 1430,data,7
Doc 1430,qualiti,5
Doc 1431,base,5
Doc 1436,patent,8
Doc 1437,inform,6
Doc 1438,fragment,6
Doc 1439,retriev,6
Doc 1439,system,8
Doc 1440,librari,5
Doc 1440,bookstock,7
Doc 1456,inform,6
Doc 1456,system,10
Doc 1461,feder,6
Doc 1461,translat,5
Doc 1463,audiovisu,5
Doc 1466,territori,5
Doc 1466,bibliographi,5
Doc 1466,system,10
Doc 1475,publish,5
Doc 1476,journal,5
Doc 1477,disabl,7
Doc 1481,annual,5
Doc 1481,report,5
Doc 1483,journal,6
Doc 1495,teleord,5
Doc 1498,microfilm,5
Doc 1502,xray,7
Doc 1503,camera,5
Doc 1506,patent,5
Doc 1512,greenland,7
Doc 1512,librari,6
Doc 1512,servic,5
Doc 1518,qualit,5
Doc 1518,research,5
Doc 1520,evalu,6
Doc 1522,librari,7
Doc 1522,research,5
Doc 1523,librari,13
Doc 1523,child,9
Doc 1525,map,6
Doc 1526,inform,7
Doc 1527,inform,11
Doc 1529,educ,5
Doc 1534,academ,6
Doc 1535,immigr,7
Doc 1536,imag,6
Doc 1536,librari,8
Doc 1539,patent,5
Doc 1544,librari,5
Doc 1545,librari,6
Doc 1551,music,5
Doc 1553,american,5
Doc 1553,librari,7
Doc 1555,depositori,5
Doc 1555,librari,7
Doc 1556,public,7
Doc 1556,librari,13
Doc 1556,research,13
Doc 1559,public,5
Doc 1559,librari,5
Doc 1560,librari,6
Doc 1560,servic,5
Doc 1561,librari,10
Doc 1562,librari,6
Doc 1563,librari,6
Doc 1564,librari,8
Doc 1565,servic,6
Doc 1566,librari,6
Doc 1566,univers,5
Doc 1567,law,6
Doc 1568,section,6
Doc 1569,cooper,6
Doc 1570,librari,5
Doc 1571,librari,5
Doc 1573,hospit,8
Doc 1573,librari,7
Doc 1574,librari,5
Doc 1574,prison,7
Doc 1576,librari,5
Doc 1577,librari,10
Doc 1578,librari,5
Doc 1579,librari,5
Doc 1581,older,5
Doc 1581,adult,6
Doc 1581,librarian,6
Doc 1582,child,5
Doc 1583,librari,5
Doc 1583,child,6
Doc 1589,librari,6
Doc 1591,librari,7
Doc 1592,librari,5
Doc 1592,user,5
Doc 1595,inform,8
Doc 1595,need,7
Doc 1596,librari,8
Doc 1596,school,5
Doc 1602,distribut,5
Doc 1606,librari,5
Doc 1617,video,5
Doc 1619,deaf,5
Doc 1622,econom,8
Doc 1622,literatur,5
Doc 1622,librari,5
Doc 1629,test,5
Doc 1629,histori,5
Doc 1633,public,6
Doc 1633,laboratori,10
Doc 1633,size,5
Doc 1633,institut,5
Doc 1633,number,6
Doc 1635,dissert,5
Doc 1639,period,5
Doc 1643,librari,6
Doc 1647,univers,10
Doc 1647,librari,7
Doc 1649,medic,5
Doc 1650,cooper,5
Doc 1652,cooper,5
Doc 1652,librari,8
Doc 1656,librari,5
Doc 1660,librari,5
Doc 1662,librari,6
Doc 1665,librari,5
Doc 1665,budget,6
Doc 1672,librari,5
Doc 1687,inform,6
Doc 1687,work,5
Doc 1690,inform,5
Doc 1693,librari,5
Doc 1694,librari,5
Doc 1696,librari,8
Doc 1698,build,5
Doc 1699,build,6
Doc 1700,librari,6
Doc 1701,inform,5
Doc 1706,government,6
Doc 1708,inform,7
Doc 1713,patent,7
Doc 1713,activ,5
Doc 1718,librari,5
Doc 1719,statist,7
Doc 1724,inform,14
Doc 1732,servic,7
Doc 1734,inform,5
Doc 1735,servic,6
Doc 1739,scientist,5
Doc 1739,contact,5
Doc 1746,method,5
Doc 1748,inform,5
Doc 1752,drug,5
Doc 1752,public,5
Doc 1752,librarian,6
Doc 1754,inform,5
Doc 1761,inform,6
Doc 1762,inform,6
Doc 1763,plan,5
Doc 1765,patent,8
Doc 1765,inform,6
Doc 1766,inform,5
Doc 1768,librari,6
Doc 1769,inform,11
Doc 1770,video,6
Doc 1772,survey,7
Doc 1772,inform,6
Doc 1774,inform,6
Doc 1774,system,5
Doc 1779,section,5
Doc 1782,system,5
Doc 1782,inform,6
Doc 1782,educ,5
Doc 1785,sourc,7
Doc 1785,inventori,8
Doc 1786,land,7
Doc 1794,system,7
Doc 1797,inform,5
Doc 1800,inform,6
Doc 1806,librari,6
Doc 1808,map,6
Doc 1814,document,6
Doc 1814,servic,5
Doc 1818,period,5
Doc 1819,abstract,9
Doc 1825,librari,5
Doc 1831,system,5
Doc 1831,librari,5
Doc 1832,local,5
Doc 1834,network,6
Doc 1834,acquisit,6
Doc 1835,system,7
Doc 1835,librari,5
Doc 1841,book,6
Doc 1846,librari,6
Doc 1847,serial,5
Doc 1848,welfar,5
Doc 1848,case,5
Doc 1848,record,5
Doc 1849,climat,5
Doc 1850,book,5
Doc 1851,restor,5
Doc 1854,record,6
Doc 1856,chapter,6
Doc 1862,microfilm,5
Doc 1862,colour,5
Doc 1868,librari,6
Doc 1872,search,6
Doc 1872,key,5
Doc 1874,catalogu,8
Doc 1874,use,5
Doc 1878,index,8
Doc 1880,classif,6
Doc 1882,classif,5
Doc 1883,librari,6
Doc 1885,classif,5
Doc 1885,system,5
Doc 1887,classif,5
Doc 1889,scheme,5
Doc 1891,system,5
Doc 1891,gener,5
Doc 1891,phase,7
Doc 1897,local,5
Doc 1899,btree,5
Doc 1900,infolog,5
Doc 1900,inform,6
Doc 1903,data,5
Doc 1903,base,5
Doc 1903,search,8
Doc 1904,search,5
Doc 1906,librari,6
Doc 1908,user,6
Doc 1908,search,6
Doc 1922,videotex,7
Doc 1924,nikkei,5
Doc 1924,inform,5
Doc 1927,inform,5
Doc 1931,onlin,10
Doc 1931,educ,5
Doc 1933,data,5
Doc 1934,data,10
Doc 1934,base,7
Doc 1934,inform,6
Doc 1934,system,7
Doc 1939,use,5
Doc 1940,relat,5
Doc 1940,data,9
Doc 1940,base,9
Doc 1940,languag,5
Doc 1942,job,5
Doc 1942,satisfact,6
Doc 1942,personnel,5
Doc 1942,dp,5
Doc 1945,messag,5
Doc 1945,buffer,7
Doc 1950,network,6
Doc 1951,file,5
Doc 1960,base,5
Doc 1976,inform,5
Doc 1978,review,7
Doc 1981,region,5
Doc 1987,book,5
Doc 1989,bookclub,5
Doc 1990,electron,5
Doc 1994,electron,5
Doc 1999,moon,8
Doc 1999,reader,5
Doc 2000,concord,6
Doc 2017,record,5
Doc 2018,librari,5
Doc 2020,public,5
Doc 2020,librari,7
Doc 2023,librari,5
Doc 2025,south,5
Doc 2025,inform,6
Doc 2030,librari,6
Doc 2038,librari,5
Doc 2038,research,6
Doc 2038,librarian,5
Doc 2039,librari,9
Doc 2049,student,5
Doc 2051,concept,5
Doc 2051,method,5
Doc 2052,librari,5
Doc 2056,librari,5
Doc 2056,instruct,5
Doc 2060,confer,5
Doc 2062,librari,5
Doc 2063,librari,6
Doc 2071,commiss,5
Doc 2071,librari,5
Doc 2072,develop,5
Doc 2073,librari,5
Doc 2074,librari,6
Doc 2077,librari,5
Doc 2078,mobil,5
Doc 2078,librari,11
Doc 2079,librari,5
Doc 2080,librari,8
Doc 2082,materi,5
Doc 2083,librari,11
Doc 2083,univers,7
Doc 2084,univers,5
Doc 2085,physic,5
Doc 2085,access,8
Doc 2086,librari,5
Doc 2090,medic,5
